Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	sampling_probability
2 weeks	Not Available	Single-Family Attached	0.0350115	0.0188997	0.070786	0.0314995	0.24789	0.0935028	0.490961	0.0114493	20	50551.2	3.82277e-05
3 days	Not Available	Single-Family Attached	0.095732	0	0.102252	0	0.118888	0	0.683128	0	21	66573.5	5.0344e-05
3 months	Not Available	Single-Family Attached	0.0552926	0.0512328	0.0619856	0.107047	0.0228314	0.0585107	0.625922	0.0171774	17	30912.4	2.33766e-05
Never	Not Available	Single-Family Attached	0.00199125	0.00167194	0.00122797	0.00249263	0.00583085	0.00187133	0.984538	0.000376441	1670	7.10707e+06	0.00537449
Year round	Not Available	Single-Family Attached	0	0.08211	0	0.24633	0	0.0799514	0.263024	0.328585	7	8955.7	6.77247e-06
1 day	0-100%	Single-Family Detached	0.207821	0	0	0	0.12381	0	0.668368	0	15	67059.7	0.000502141
1 month	0-100%	Single-Family Detached	0.260771	0.150186	0.00974602	0.0469209	0.120444	0.00439325	0.406217	0.00132224	39	143280	0.00107288
1 week	0-100%	Single-Family Detached	0.0722867	0.0431877	0.147986	0.183462	0.120665	0	0.432413	0	27	147244	0.00110256
2 weeks	0-100%	Single-Family Detached	0.00918695	0.116635	0.187908	0.0462506	0.123637	0.0820618	0.41221	0.0221096	26	128531	0.000962442
3 days	0-100%	Single-Family Detached	0.0942466	0	0.106233	0	0.407849	0	0.391671	0	33	139720	0.00104622
3 months	0-100%	Single-Family Detached	0.0419382	0.0934857	0.0397494	0.00607447	0.0546584	0.214639	0.403787	0.145668	26	126522	0.000947396
Never	0-100%	Single-Family Detached	0.0152067	0.00997682	0.0166974	0.0109519	0.0144608	0.00588969	0.921488	0.00532918	800	4.99469e+06	0.0374002
Year round	0-100%	Single-Family Detached	0	0	0	0	0	0.259608	0.219606	0.520786	8	36696.1	0.00027478
1 day	100-150%	Single-Family Detached	0.250099	0	0.0825617	0	0.221629	0	0.445711	0	16	62042.9	0.000446367
1 month	100-150%	Single-Family Detached	0.138326	0.0393669	0.0115614	0.110619	0.0427937	0.0111444	0.642636	0.00355297	38	130311	0.000937525
1 week	100-150%	Single-Family Detached	0.0983456	0	0.0351366	0	0.302092	0	0.564426	0	27	83632.6	0.000601692
2 weeks	100-150%	Single-Family Detached	0.0104187	0.00224936	0.0307777	0.0505654	0.155829	0	0.661302	0.088858	29	78157.3	0.000562304
3 days	100-150%	Single-Family Detached	0.133317	0	0.0467683	0	0.402736	0	0.417179	0	32	104294	0.000750347
3 months	100-150%	Single-Family Detached	0.0504066	0.0403837	0.0447978	0.168071	0.0504066	0.13879	0.505266	0.00187822	27	67103.5	0.000482777
Never	100-150%	Single-Family Detached	0.0061405	0.00664805	0.00600405	0.00361606	0.0111996	0.00578416	0.956016	0.00459152	1029	4.55031e+06	0.0327372
Year round	100-150%	Single-Family Detached	0.00176352	0	0	0	0.00176352	0.140857	0.481404	0.374212	8	35518.9	0.000255541
1 day	150-200%	Single-Family Detached	0.317968	0	0	0.00320583	0.207567	0	0.471259	0	19	35728.3	0.000237089
1 month	150-200%	Single-Family Detached	0	0.166601	0.0758559	0.0647388	0.069191	0.0416482	0.581906	5.90344e-05	28	75825.2	0.00050317
1 week	150-200%	Single-Family Detached	0.0660604	0	0.0811431	0	0.0936514	0	0.759145	0	29	82801.7	0.000549464
2 weeks	150-200%	Single-Family Detached	0.00869639	0.0264289	0.0864155	0.0746843	0.132011	0	0.671764	0	25	84332.6	0.000559623
3 days	150-200%	Single-Family Detached	0.16737	0	0.0271631	0.000874681	0.231813	0	0.572779	0	41	130949	0.000868966
3 months	150-200%	Single-Family Detached	0	0.0687833	0.0341873	0.0830279	0	0.338632	0.304185	0.171185	19	51505.1	0.000341783
Never	150-200%	Single-Family Detached	0.00447609	0.00407383	0.0059755	0.00152566	0.00775708	0.00206341	0.970318	0.00381066	1322	5.38359e+06	0.035725
Year round	150-200%	Single-Family Detached	0	0	0	0	0	0.370985	0.380407	0.248608	8	27560.7	0.000182891
1 day	200-300%	Single-Family Detached	0.133533	0.00672261	0.0488682	0.0437835	0.144113	0.000591055	0.62239	0	30	76805.8	0.000527783
1 month	200-300%	Single-Family Detached	0.0617389	0.0556392	0.107214	0.112709	0.0584649	0.0492092	0.553719	0.00130606	47	145907	0.00100263
1 week	200-300%	Single-Family Detached	0.146629	0.026841	0.0319983	0.0392243	0.232841	0	0.522466	0	45	135841	0.00093345
2 weeks	200-300%	Single-Family Detached	0.0348575	0.0722189	0.142519	0.0347989	0.216896	0.0103393	0.48837	0	23	59191.1	0.00040674
3 days	200-300%	Single-Family Detached	0.0902452	0.0013426	0.0133755	0.0168814	0.142521	0.0219717	0.702617	0.0110459	69	199203	0.00136885
3 months	200-300%	Single-Family Detached	0.0329999	0.0608922	0	0.134779	0.0427668	0.0487232	0.679838	0	34	86237.6	0.000592594
Never	200-300%	Single-Family Detached	0.00101167	0.000958036	0.00205363	0.0023968	0.0037797	0.000641836	0.988551	0.00060748	3046	1.14614e+07	0.0787585
Year round	200-300%	Single-Family Detached	0	0.0179291	0	0	0	0.00230693	0.612082	0.367682	14	45298.6	0.000311277
1 day	300-400%	Single-Family Detached	0.248115	0.0641916	0	0.04194	0.174629	0.00558142	0.465543	0	22	68499	0.000488497
1 month	300-400%	Single-Family Detached	0.12135	0.0421429	0.016435	0.132281	0.0644442	0.0374088	0.585938	0	32	81989.6	0.000584704
1 week	300-400%	Single-Family Detached	0.0468426	0.0471693	0.0696031	0.0360142	0.0433143	0	0.757056	0	23	59888.3	0.00042709
2 weeks	300-400%	Single-Family Detached	0.101217	0.0159597	0.0164232	0.0500944	0	0	0.816306	0	24	61995.1	0.000442114
3 days	300-400%	Single-Family Detached	0.108613	0.0244923	0	0.0244942	0.0920796	0	0.750321	0	34	117287	0.000836425
3 months	300-400%	Single-Family Detached	0	0.111946	0.0562592	0.00603037	0.0641449	0.189344	0.572275	0	21	47093.2	0.000335842
Never	300-400%	Single-Family Detached	0.00175024	0.000431142	0.00250447	0.00139322	0.00347893	0.00144857	0.987596	0.00139693	2888	1.03198e+07	0.0735951
Year round	300-400%	Single-Family Detached	0	0.0748331	0.0119931	0	0	0	0.672521	0.240653	11	27050.5	0.000192909
1 day	400%+	Single-Family Detached	0.146952	0	0	0	0.0598699	0	0.793178	0	28	127829	0.00092474
1 month	400%+	Single-Family Detached	0	0.103131	0.0471875	0.024156	0.0149795	0.0162347	0.786149	0.00816172	29	107359	0.000776652
1 week	400%+	Single-Family Detached	0.026104	0.0220023	0.077158	0.0418455	0.0983499	0.0247814	0.687083	0.0226762	32	111111	0.000803794
2 weeks	400%+	Single-Family Detached	0	0	0.0159435	0	0.0159435	0.0475739	0.90656	0.0139791	28	104469	0.000755747
3 days	400%+	Single-Family Detached	0.0569762	0.0211052	0.0285105	0.0351754	0.0329505	0	0.803531	0.0217516	36	115834	0.000837959
3 months	400%+	Single-Family Detached	0.0144084	0.035093	0.0781783	0.0290105	0.0560302	0.035093	0.752187	0	22	89394	0.000646692
Never	400%+	Single-Family Detached	0.00134717	0.000150466	0.00115864	0.000807368	0.00223806	0.000358878	0.993657	0.000282053	7004	3.66062e+07	0.264815
Year round	400%+	Single-Family Detached	0	0	0.00969803	0	0	0.0162158	0.603756	0.370331	16	44581.2	0.000322508
1 day	Not Available	Single-Family Detached	0.198304	0.0112187	0.0202658	0.0144994	0.137346	0.000976604	0.617389	0	92	437965	0.000369413
1 month	Not Available	Single-Family Detached	0.108587	0.0904472	0.0448559	0.0816896	0.0635378	0.025165	0.5832	0.00251758	149	684673	0.000577506
1 week	Not Available	Single-Family Detached	0.0805175	0.0246162	0.0782177	0.0630895	0.154609	0.00443738	0.590453	0.00406042	127	620518	0.000523393
2 weeks	Not Available	Single-Family Detached	0.021419	0.0438573	0.0870271	0.041342	0.103947	0.0312178	0.649421	0.0217681	103	516676	0.000435805
3 days	Not Available	Single-Family Detached	0.106907	0.00691795	0.0362257	0.0129133	0.213494	0.00542165	0.612274	0.00584667	170	807287	0.000680926
3 months	Not Available	Single-Family Detached	0.0274068	0.0678432	0.0415389	0.0658824	0.0470564	0.149975	0.541789	0.0585076	103	467856	0.000394625
Never	Not Available	Single-Family Detached	0.00282289	0.001677	0.00320101	0.00205647	0.00444786	0.00139516	0.983039	0.00136026	11808	7.3316e+07	0.0618404
Year round	Not Available	Single-Family Detached	0.000289047	0.0130889	0.00349215	0	0.000289047	0.118048	0.50057	0.364223	45	216706	0.000182786
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Number of days in a year heating system is unavailable
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption:
