Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=0%	Option=10%	Option=20%	Option=30%	Option=40%	Option=49%	Option=Void	source_count	source_weight	sampling_probability
Others	Other Fuel	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	1940s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	1950s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	1960s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	1970s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	1980s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	1990s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	2000s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	2010s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	None	<1940	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Propane	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	1940s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	1950s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	1960s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	1970s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	1980s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	1990s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	2000s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	2010s	1	0	0	0	0	0	0	0	0	0
Others	Propane	None	<1940	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Wood	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	1940s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	1950s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	1960s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	1970s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	1980s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	1990s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	2000s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	2010s	1	0	0	0	0	0	0	0	0	0
Others	Wood	None	<1940	1	0	0	0	0	0	0	0	0	0
# Created by: sources\aris\tsv_maker.py
# Description: The fraction of heating load served by secondary heating system
# Source: Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.
# Assumption: For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.
# Assumption: For Alaska, the fraction of the load served by the secondary heating system is calculated as the ratio of annual energy used by secondary fuel and annual energy used by secondary and primary fuel.
