Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=Fuel Boiler, 76% AFUE	Option=Fuel Boiler, 80% AFUE	Option=Fuel Boiler, 90% AFUE	Option=Fuel Furnace, 60% AFUE	Option=Fuel Furnace, 76% AFUE	Option=Fuel Furnace, 80% AFUE	Option=Fuel Furnace, 92.5% AFUE	Option=None	Option=Shared Heating	Option=Void	source_count	source_weight	sampling_probability
Others	None	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0.0493751
Others	None	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0.10373
Others	None	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0.106456
Others	None	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0.151784
Others	None	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0.133734
Others	None	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0.137583
Others	None	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0.137044
Others	None	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0.0506319
Others	None	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0.127356
Others	Other Fuel	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Other Fuel	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Propane	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Wood	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
# Created by: sources\aris\tsv_maker.py
# Description: The efficiency and type of the heating system.
# Source: Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.
# Assumption: For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.
# Assumption: For Alaska, electric space heaters are modelled as electric baseboards.
# Assumption: For Alaska, Toyo/monitor direct-vent devices and other fuel space heaters are not modeled.
# Assumption: For Alaska, fireplace and stoves are not modeled.
# Assumption: For Alaska, heat pumps are assumed to be non-ducted air source heat pumps.
